Pais,Area,poblacion,Namerica,Samerica,Europe,Asia,Oceania,Africa,lat,longitud,Dia_inicio,PIB,Gasto_Salud,Cuarentena,Dia,1,2,3,4,5,6,7,8,9,10,dia_a_predecir
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,36,15,15,15,15,15,15,15,15,15,25,27
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,37,15,15,15,15,15,15,15,15,25,27,30
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,38,15,15,15,15,15,15,15,25,27,30,39
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,39,15,15,15,15,15,15,25,27,30,39,52
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,40,15,15,15,15,15,25,27,30,39,52,55
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,41,15,15,15,15,25,27,30,39,52,55,60
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,42,15,15,15,25,27,30,39,52,55,60,63
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,43,15,15,25,27,30,39,52,55,60,63,76
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,44,15,25,27,30,39,52,55,60,63,76,91
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,45,25,27,30,39,52,55,60,63,76,91,107
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,46,27,30,39,52,55,60,63,76,91,107,128
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,47,30,39,52,55,60,63,76,91,107,128,128
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,48,39,52,55,60,63,76,91,107,128,128,200
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,49,52,55,60,63,76,91,107,128,128,200,250
Austria,83871.0,8902600.0,0, 0, 1, 0, 0, 0,47.5162,14.5501,34,447718.0,7.72,21.0,11,2,2,3,3,9,14,18,21,29,41,55
Austria,83871.0,8902600.0,0, 0, 1, 0, 0, 0,47.5162,14.5501,34,447718.0,7.72,21.0,12,2,3,3,9,14,18,21,29,41,55,79
Austria,83871.0,8902600.0,0, 0, 1, 0, 0, 0,47.5162,14.5501,34,447718.0,7.72,21.0,13,3,3,9,14,18,21,29,41,55,79,104
Austria,83871.0,8902600.0,0, 0, 1, 0, 0, 0,47.5162,14.5501,34,447718.0,7.72,21.0,14,3,9,14,18,21,29,41,55,79,104,131
Austria,83871.0,8902600.0,0, 0, 1, 0, 0, 0,47.5162,14.5501,34,447718.0,7.72,21.0,15,9,14,18,21,29,41,55,79,104,131,182
Austria,83871.0,8902600.0,0, 0, 1, 0, 0, 0,47.5162,14.5501,34,447718.0,7.72,21.0,16,14,18,21,29,41,55,79,104,131,182,246
Austria,83871.0,8902600.0,0, 0, 1, 0, 0, 0,47.5162,14.5501,34,447718.0,7.72,21.0,17,18,21,29,41,55,79,104,131,182,246,302
Austria,83871.0,8902600.0,0, 0, 1, 0, 0, 0,47.5162,14.5501,34,447718.0,7.72,21.0,18,21,29,41,55,79,104,131,182,246,302,504
Austria,83871.0,8902600.0,0, 0, 1, 0, 0, 0,47.5162,14.5501,34,447718.0,7.72,21.0,19,29,41,55,79,104,131,182,246,302,504,655
Azerbaijan,86600.0,10067108.0,0, 0, 0, 1, 0, 0,40.1431,47.5769,39,47171.0,1.38,31.0,11,3,3,3,3,6,6,9,9,9,11,11
Azerbaijan,86600.0,10067108.0,0, 0, 0, 1, 0, 0,40.1431,47.5769,39,47171.0,1.38,31.0,12,3,3,3,6,6,9,9,9,11,11,11
Azerbaijan,86600.0,10067108.0,0, 0, 0, 1, 0, 0,40.1431,47.5769,39,47171.0,1.38,31.0,13,3,3,6,6,9,9,9,11,11,11,15
Azerbaijan,86600.0,10067108.0,0, 0, 0, 1, 0, 0,40.1431,47.5769,39,47171.0,1.38,31.0,14,3,6,6,9,9,9,11,11,11,15,15
Bahrain,778.0,1543300.0,0, 0, 0, 1, 0, 0,26.0275,50.55,33,38184.0,2.99,24.0,11,1,23,33,33,36,41,47,49,49,52,55
Bahrain,778.0,1543300.0,0, 0, 0, 1, 0, 0,26.0275,50.55,33,38184.0,2.99,24.0,12,23,33,33,36,41,47,49,49,52,55,60
Bahrain,778.0,1543300.0,0, 0, 0, 1, 0, 0,26.0275,50.55,33,38184.0,2.99,24.0,13,33,33,36,41,47,49,49,52,55,60,85
Bahrain,778.0,1543300.0,0, 0, 0, 1, 0, 0,26.0275,50.55,33,38184.0,2.99,24.0,14,33,36,41,47,49,49,52,55,60,85,85
Bahrain,778.0,1543300.0,0, 0, 0, 1, 0, 0,26.0275,50.55,33,38184.0,2.99,24.0,15,36,41,47,49,49,52,55,60,85,85,95
Bahrain,778.0,1543300.0,0, 0, 0, 1, 0, 0,26.0275,50.55,33,38184.0,2.99,24.0,16,41,47,49,49,52,55,60,85,85,95,110
Bahrain,778.0,1543300.0,0, 0, 0, 1, 0, 0,26.0275,50.55,33,38184.0,2.99,24.0,17,47,49,49,52,55,60,85,85,95,110,195
Bahrain,778.0,1543300.0,0, 0, 0, 1, 0, 0,26.0275,50.55,33,38184.0,2.99,24.0,18,49,49,52,55,60,85,85,95,110,195,195
Bahrain,778.0,1543300.0,0, 0, 0, 1, 0, 0,26.0275,50.55,33,38184.0,2.99,24.0,19,49,52,55,60,85,85,95,110,195,195,195
Bahrain,778.0,1543300.0,0, 0, 0, 1, 0, 0,26.0275,50.55,33,38184.0,2.99,24.0,20,52,55,60,85,85,95,110,195,195,195,210
Brazil,8515767.0,211336713.0,0, 1, 0, 0, 0, 0,-14.235,-51.9253,35,1847020.0,3.96,21.0,11,1,1,1,2,2,2,2,4,4,13,13
Brazil,8515767.0,211336713.0,0, 1, 0, 0, 0, 0,-14.235,-51.9253,35,1847020.0,3.96,21.0,12,1,1,2,2,2,2,4,4,13,13,20
Brazil,8515767.0,211336713.0,0, 1, 0, 0, 0, 0,-14.235,-51.9253,35,1847020.0,3.96,21.0,13,1,2,2,2,2,4,4,13,13,20,25
Brazil,8515767.0,211336713.0,0, 1, 0, 0, 0, 0,-14.235,-51.9253,35,1847020.0,3.96,21.0,14,2,2,2,2,4,4,13,13,20,25,31
Brazil,8515767.0,211336713.0,0, 1, 0, 0, 0, 0,-14.235,-51.9253,35,1847020.0,3.96,21.0,15,2,2,2,4,4,13,13,20,25,31,38
Brazil,8515767.0,211336713.0,0, 1, 0, 0, 0, 0,-14.235,-51.9253,35,1847020.0,3.96,21.0,16,2,2,4,4,13,13,20,25,31,38,52
Brazil,8515767.0,211336713.0,0, 1, 0, 0, 0, 0,-14.235,-51.9253,35,1847020.0,3.96,21.0,17,2,4,4,13,13,20,25,31,38,52,151
Brazil,8515767.0,211336713.0,0, 1, 0, 0, 0, 0,-14.235,-51.9253,35,1847020.0,3.96,21.0,18,4,4,13,13,20,25,31,38,52,151,151
Chile,756102.0,19107216.0,0, 1, 0, 0, 0, 0,-35.6751,-71.543,41,294237.0,5.2,17.0,11,1,1,4,4,4,8,8,13,23,23,43
Chile,756102.0,19107216.0,0, 1, 0, 0, 0, 0,-35.6751,-71.543,41,294237.0,5.2,17.0,12,1,4,4,4,8,8,13,23,23,43,61
Croatia,56594.0,4076246.0,0, 0, 1, 0, 0, 0,45.1,15.2,34,60702.0,5.62,23.0,11,1,3,3,5,6,7,7,9,10,10,11
Croatia,56594.0,4076246.0,0, 0, 1, 0, 0, 0,45.1,15.2,34,60702.0,5.62,23.0,12,3,3,5,6,7,7,9,10,10,11,12
Croatia,56594.0,4076246.0,0, 0, 1, 0, 0, 0,45.1,15.2,34,60702.0,5.62,23.0,13,3,5,6,7,7,9,10,10,11,12,12
Croatia,56594.0,4076246.0,0, 0, 1, 0, 0, 0,45.1,15.2,34,60702.0,5.62,23.0,14,5,6,7,7,9,10,10,11,12,12,12
